Image,Classification
1.JPG,-1
2.JPG,1
3.JPG,1
4.JPG,-1
5.JPG,-1
6.JPG,-1
7.JPG,-1
8.JPG,-1
9.JPG,-1
10.JPG,1
11.JPG,1
12.JPG,1
13.JPG,1
14.JPG,1
15.JPG,1
16.JPG,-1
17.JPG,-1
18.JPG,-1
19.JPG,-1
20.JPG,-1
21.JPG,-1
22.JPG,1
23.JPG,1
24.JPG,-1
25.JPG,-1
26.JPG,-1
27.JPG,-1
28.JPG,-1
29.JPG,1
30.JPG,1
31.JPG,-1
32.JPG,1
33.JPG,1
34.JPG,1
35.JPG,-1
36.JPG,-1
37.JPG,-1
38.JPG,1
39.JPG,-1
40.JPG,-1
41.JPG,-1
42.JPG,-1
43.JPG,-1
44.JPG,1
45.JPG,-1
46.JPG,-1
47.JPG,-1
48.JPG,-1
49.JPG,-1
50.JPG,-1
51.JPG,-1
52.JPG,-1
53.JPG,-1
54.JPG,-1
55.JPG,-1
56.JPG,-1
57.JPG,-1
58.JPG,-1
59.JPG,-1
60.JPG,-1
61.JPG,-1
62.JPG,-1
63.JPG,-1
64.JPG,1
65.JPG,-1
66.JPG,-1
67.JPG,1
68.JPG,1
